X,Y,OBJECTID,latitude,longitude,address,storename,in_oz,label,renovationincentiveelig,status,oz_sc,congressionaldistrict_md,congressionaldistrict_usno,md_ld,GlobalID
1433590.40767997,593360.878061152,1,39.295132,-76.571552,"3250 E Fayette St, Baltimore, MD 21224",ALDI,Not in Opportunity Zone,ALDI,Eligible,Open,"Not in OZ, in SC",3RD,2403,46,1261b9fd-1f3e-4fd7-9b44-867abc05c67e
1439471.61802855,608922.530659829,2,39.337778,-76.550501,"4212 Frankford Ave, Baltimore, MD 21206",ALDI,Not in Opportunity Zone,ALDI,Eligible,Open,"Not in OZ, in SC",2ND,2402,45,377545cc-c33a-4c44-b1fb-052b70c22c70
1403976.59191732,607875.392334639,3,39.335316,-76.676006,"3601 W Cold Spring Ln, Baltimore, MD 21215",ALDI,Not in Opportunity Zone,ALDI,Eligible,Open,"Not in OZ, in SC",7TH,2407,41,5e2d6ac3-6cc9-4fb2-8298-a08947fe5c0e
1407959.64202067,580190.451322376,4,39.25911,-76.66235,"3140 Washington Blvd, Baltimore, MD 21230",ALDI,Not in Opportunity Zone,ALDI,Eligible,Open,"Not in OZ, in SC",3RD,2403,40,269aeb76-9615-4212-803b-12740e4ef551
1442247.15250283,612307.781106073,5,39.347034,-76.540628,"5950 Belair Rd, Baltimore, MD 21206",BIRITE,Not in Opportunity Zone,BIRITE,Ineligible,Open,"Not in OZ, in SC",2ND,2402,45,37374784-e40d-4357-a098-6acd03afcd05
1422540.09120156,603742.430129393,6,39.32377,-76.61044,"400 E 29th St, Baltimore, MD 21218",DMG FOODS,Not in Opportunity Zone,DMG FOODS,Eligible,Open,"Not in OZ, in SC",7TH,2407,43,1ed60217-5ec9-4b4f-a56c-8dbf1431065a
1421074.61348996,604723.402576582,7,39.326468,-76.6157618,"3117 St Paul St, Baltimore, MD 21218",Streets Market and Café,Not in Opportunity Zone,STREETS MARKET,Eligible,Open,"Not in OZ, in SC",7TH,2407,43,8cdb26d3-9990-4ad3-9add-39946f4b11c8
1420794.09830302,595382.185697723,8,39.300746,-76.616727,"7 W Eager St, Baltimore, MD 21201",EDDIE'S OF MT VERNON,Not in Opportunity Zone,EDDIE'S OF MT VERNON,Eligible,Open,"Not in OZ, in SC",7TH,2407,40,acd61835-7fe4-49b6-8b53-c1ef989d761f
1415733.98408115,615430.370988599,9,39.355974,-76.634243,"5113 Roland Ave, Baltimore, MD 21210",EDDIE'S OF ROLAND PARK,Not in Opportunity Zone,EDDIE'S OF ROLAND P.,Ineligible,Open,Not in Either,3RD,2403,41,51218659-1f55-410c-a21e-456e0df4c30c
1410425.29489699,588839.480937523,10,39.282473,-76.655285,"2413 Frederick Ave, Baltimore, MD 21223",FOOD DEPOT,Not in Opportunity Zone,FOOD DEPOT,Eligible,Open,"Not in OZ, in SC",7TH,2407,40,6352bfeb-ce7d-4b2d-948b-a4a78b10b231
1432429.02417638,601733.302258475,11,39.318133,-76.575518,"2401 Belair Rd, Baltimore, MD 21213",FOOD DEPOT,Not in Opportunity Zone,FOOD DEPOT,Eligible,Open,"Not in OZ, in SC",7TH,2407,45,d59a9450-8111-4127-b78a-bda9d5bd47bb
1396933.50758059,611726.617898694,12,39.3459553,-76.7008612,"5700 Wabash Ave, Baltimore, MD 21215",HARVEST FARE,Not in Opportunity Zone,HARVEST FARE,Ineligible,Open,"Not in OZ, in SC",7TH,2407,41,7a77082f-b7d5-4590-83fb-33c3b326a8a1
1415518.40774068,609143.006596856,13,39.337921,-76.635346,"1020 W 41st St, Baltimore, MD 21211",GIANT,Not in Opportunity Zone,GIANT,Ineligible,Open,"Not in OZ, in SC",3RD,2403,40,8e60e4c6-ef84-4025-85b4-260e4e0f587c
1441176.20516999,603792.257785542,14,39.32367,-76.544565,"5150 Sinclair Ln, Baltimore, MD 21206",GIANT,Not in Opportunity Zone,GIANT,Ineligible,Open,"Not in OZ, in SC",2ND,2402,45,01dc174f-c4e1-4195-94c3-f50d099d0fd7
1423223.16562261,605224.168635247,15,39.32783,-76.608003,"601 E 33rd St, Baltimore, MD 21218",GIANT,Not in Opportunity Zone,GIANT,Eligible,Open,"Not in OZ, in SC",7TH,2407,43,4c8af457-42b4-4547-b156-570ad942c0bc
1398378.3009503,592753.389447065,16,39.293852,-76.695976,"4624 Edmondson Ave, Baltimore, MD 21229",GIANT,Not in Opportunity Zone,GIANT,Eligible,Open,"Not in OZ, in SC",7TH,2407,41,d6ca824f-a57a-46d8-a81b-57d721eaf71a
1395271.12343873,615921.826042373,17,39.355536,-76.707344,"6620 Reisterstown Rd, Baltimore, MD 21215",GIANT,Not in Opportunity Zone,GIANT,Eligible,Open,"Not in OZ, in SC",7TH,2407,41,7e9d3a9d-1f62-40b7-968a-d705c5be8551
1435543.51171273,585984.062108502,18,39.2748538,-76.5647753,"3799 Boston St, Baltimore, MD 21224",HARRIS TEETER,Within Opportunity Zone,HARRIS TEETER,Ineligible,Open,"In OZ, Not in SC",3RD,2403,46,5b200f36-10c0-4b32-8a31-b22301df3aa2
1425607.82489441,583297.977586557,19,39.267604,-76.599913,"1801 Whetstone Way, Baltimore, MD 21230",HARRIS TEETER,Not in Opportunity Zone,HARRIS TEETER,Ineligible,Open,Not in Either,3RD,2403,46,18897f00-68be-4f4a-8206-1d49f5d03cf0
1435915.47356722,614393.67949268,20,39.352846,-76.562981,"2905 Hamilton Ave, Baltimore, MD 21214",HARVEST FARE,Not in Opportunity Zone,HARVEST FARE,Ineligible,Open,"Not in OZ, in SC",7TH,2407,45,60786a14-cce8-4eda-bd29-16afe3669c3d
1435388.90637897,592309.451358569,21,39.292222,-76.565215,"3800 E Lombard St, Baltimore, MD 21224",HAZLO INTERNATIONAL FOODS,Not in Opportunity Zone,HAZLO INT. FOODS,Ineligible,Open,"Not in OZ, in SC",3RD,2403,46,4c1efbfc-8f65-44d7-9cf9-9a3dd33b44a4
1412463.36299863,576859.451751829,22,39.250076,-76.646427,"2159 W Patapsco Ave, Baltimore, MD 21230",LA MART,Within Opportunity Zone,LA MART,Ineligible,Open,In Both,2ND,2402,46,9e2a7c92-82f1-450a-b128-e26711f9ee1b
1416771.77039103,608265.301659645,23,39.335916,-76.630342,"711 W 40th St, Baltimore, MD 21211",MOMS,Not in Opportunity Zone,MOMS,Ineligible,Open,Not in Either,3RD,2403,41,932aa455-38ed-4b33-b98b-ac86e2994863
1415442.15165955,589356.856214916,24,39.284627,-76.635697,"1205 W Pratt St, Baltimore, MD 21223",PRICERITE,Not in Opportunity Zone,PRICERITE,Eligible,Open,"Not in OZ, in SC",3RD,2403,40,b1ade65d-6676-4576-b2e0-0d5e561e9fae
1420894.24081925,601164.658382889,25,39.316712,-76.616296,"2401 N Charles St, Baltimore, MD 21218",SAFEWAY,Not in Opportunity Zone,SAFEWAY,Eligible,Open,"Not in OZ, in SC",7TH,2407,43,b58b856f-c65b-4374-84b3-393eec59245b
1431553.70342069,588045.932656034,26,39.280566,-76.578835,"2610 Boston St, Baltimore, MD 21224",SAFEWAY,Not in Opportunity Zone,SAFEWAY,Ineligible,Open,Not in Either,3RD,2403,46,3542d014-6f7f-43eb-8099-a949c835ccf7
